,No,Tweet,Comment,Domain,Label
906,907,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,pernah nonton yutup akun ojek di amerika abang ojek orang ind lupa nama akun sana ada reward buat abang2nya klo sampai ada wky tunggu lbh dr sekian menit jd kata klo suruh nunggu pun rasa ga rugi2 amat meski baik ga mau nunggu,Social,Uncorrelated
907,908,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,usah juga customer sentris pula demi ngebalikin duit investor wkwk kayak cerita kemaren lewat tumpang ngelakuin leceh seksual trus langsung diturunin dan dicancel eh akun drivernya dibekuin,Social,Pro
908,909,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,saya lihat aplikator dan ojol bukan bagai mitra mohon maaf seperti perbudakaan modern kerja tanpa jam hak dan wajib yang timpang,Social,Pro
909,910,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,kasi woy btw nitip thread yaa,Social,Pro
910,911,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,mau tanya kalo ratingnya jelek dan ada adu abang gojek bakal diapain ya,Social,Neutral
911,912,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,tapi ada juga sih driver yang kayak anjeng jadi cewek saya kan pulang kerja terus pesan grab eh abang grab nya marah bilang ke cewek saya pesan grab kok malam kali terus makin marah kalo tuju nya itu cuma dkt,Social,Contra
912,913,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,driver ojol tuh antara jadi baik itu atau jadi nyebelin banget w pernah sen ojol terus lama banget nyampenya tapi ga ngomong apa2 gitu loh biasa kan suka dichat dulu otw gitu pokok chat kalau dia mau ambil order kan tapi ini enggak samsek dan lama banget aku mikirnya mungkin beliau gatau ada order masuk dan gaakan jemput kan jadi w cancel terus sen lagi eh ga berapa lama ada orang naik motor nyamperin terus pas liat hp dia ngamuk karena dicancel terus langsung pergi mana udahnya malah nerror wa,Social,Neutral
913,914,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,jadi ingat waktu itu pernah beli minum boba trs tiba tiba hujan gede aku liat di maps abang nya blm jalan mumpung blm jalan aku chat suruh neduh aja dulu gpp kok lama tpi abang nya keras kepala dia tetap terobos walaupun udh pake jas ujan aku nya kan jadi gk enak hati yaudah,Social,Neutral
914,915,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,kasta tinggi telah aplikator 1customer 2mitra resto 3 karyawan driver ojol customer vs driver ojol customer mitra resto vs driver ojol mitra resto mitra resto vs customer yg salah ttp driver ojol ambil order naik lantai 5 driver nolak turun performa,Social,Neutral
915,916,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,pernah naik gocar di solotujuan emang kampung tpi jarak lumayan jauhjalan bagustpi lantar tau orang kampungdrivernya sinis bgtdi tanyain gag mau jawabsaya malu karena saya bawa keluarga tetep saya kasih bintang 5 plus uang tip cash 80 dari harga yg cantum,Social,Neutral
916,917,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,baru sadar di aplikasi pnumpang klo ambil screenshot langsung muncul notif ingin bagi jalan anda ke keluarga bagi saja link ini tp gilir driver yg ambil screenshot dari aplikasi notifnya gin screenshot brisi data pribadi mmbagikannya bisa kena sanksi,Social,Pro
917,918,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,temen saya motor rusak jadi lah dia narik pake motor istri untuk cari uang buat biaya service motor eh pas bgt dapet tumpang yg tayang plat nomer kenapa beda sudah jelas tetap di adu waaah besok suspend,Social,Pro
918,919,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,ada lgi temen sya perihal kembali 2rb tarif 8rb tumpang bayar 10rb ga ada kembali 2rb temen sya ngalah dgn kembali uang tumpang 5rb bu gpp 5rb aja tap si ibu gamau ambil aja semua modus bgtsiapin receh dong siang suspend kata minta tarif tambah,Social,Pro
919,920,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,pernah pake gocar emang tuju ke rumah sesuai share location yg kasih temen nama share location kan suka ngga pas kan ya emang udh sampai titik tapi blm nyampe dan driver bilang udah sampe mba titik sampai sini aja padahal itu masih lumayan jaug rumah,Social,Neutral
920,921,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,gue pernah jadi mitra resto yang salah pasang sudah beringas banget suruh gue kasi bintang satu gue tolak sampai ribut sm pasang jadi driver balik ke resto tuker order yg salah drivernya sy kasi bintang 5 pasang saya nasehat gk bole gt,Social,Neutral
921,922,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,mungkin harus buat aplikasi gin beri rating harus dari dua sisi juga driver bisa ngasih rating bagaimana langgan bisa ngerating mereka dgn gitu enggak tau gimana behavior masing2 sebenernya liat dr trackrecord yg ada biar adil untuk dua pihak,Social,Pro
922,923,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,bukan skrg user dirating jg sm driver ya mas yg saya tau gojek begitu,Social,Neutral
923,924,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,tapi maaf gue pernah di salah satu ojol car masih muda dia kesel sama gue gara2 gue pake voucher sampe dia bilang beberapa kali bayar ga sesuai sama jalan situ gue diem takut salah ngomong tapi tetep gue kasih 5,Social,Neutral
924,925,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,ngomongin adu bbrp bulan lalu saat masih main gofood kena ingat pertama di langgar tingkat pertama alas telat jemput kaya sih ini order basi driver lain ya kita mah jadi driver kalau bisa mah malah cepet kelar dari satu order ke order lain,Social,Pro
925,926,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,bahkan kalau user yg cancel pun ratingnya turun sedih betul,Social,Pro
926,927,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,pernah salah taro titik alamat waktu sen gofood alhasil bpknya harus muter2 gue baru pindah ke kos dan belum hapal daerah situ pas dateng bpknya minta maaf dan bilang kurang uangnga ga ush di bayarin karena gak enak sm gue,Social,Pro
927,928,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,prefer sistem uber jaman dulu yg adil karena baik driver customer juga samasama kasih rating jadi customer juga ga bisa semenamena laku,Social,Pro
928,929,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,jadi inget papa 3 hari gk operasi ngojol karena ada customer yg minta ngebut buat sampai terminal ibu2 ini duga mau tinggal bus eh pas orgnya udh sampe terminal papa kasih rating 1 dan ibu ini nelfon ke csnya grab kalo papa udh ngebut dan ngerugiin dia padahal ibu ini nyampe dengan selamat gk telat dan gk tinggal bus tapi karena ada adu jadi papa skors 3 hari gaboleh operasi mana ekonomi waktu itu lagi sulit ya allah gamau doa yg jelek2 yg pasti aku doa ibu itu gk ngerasain ekonomi sulit kyk keluarga emoji,Social,Pro
929,930,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,ngeri bgt bang apalg yg cuma perkara sepele lalu kasih rating jelek bisa paling buruk kena putus mitra akun,Social,Pro
930,931,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,harus banding kalau konsumen dapat adu cepat kalau mud mau keluh sama siapa,Social,Pro
931,932,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,selalu kurang tuju sama org yg kasi rate bintang 1 krn driver jemput lama atau antar barang lama krn kita ga pernah tau persis situasi di jalan kaya apa sulit driver jalan gmn harus selalu manusia manusia lain sih krn kita jg gtau kondisi drivernya spt apa,Social,Pro
932,933,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,gue lagi buru karna ngejar kereta akhir tapi abang ojolnya lama dateng karna lagi ngabisin kopi kata dan gue suruh ngebut sampe stasiun gue tinggal kereta yang baru 1mnt yang lalu jalan truss gue minta maaf maaf ya bang jadi aku suruh ngebut,Social,Neutral
933,934,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,custamer salah ya aku yg minta maaf akun aku adalah mata cari aku buat kasih makan anak2 lebih baik aku ngalah emoji,Social,Pro
934,935,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,yoi bang konsumen terlalu diraja seperti mention perlu benah masalah rating dan adu kasihan driver terlalu gampang kena suspend sekalipun konsumen yang tengil tetep aja driver yang kena,Social,Pro
935,936,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,pernah lg naik gojk trus drivernya cerita dia driver grb juga kata bapak2nya sistem nilai gojk masih pihak ke customer bgt jd misal ada tuduh dr customer driver lgsg beku tanpa konfirmasi ke drivernya bener ga ya,Social,Pro
936,937,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,di gojek jarang ada putus mitra apabila driver dapat rating 1 dr customer alhamdulillah sbg driver gojek pihak kantor msh penuh toleransi maupun objektif tp beda dngn aplikator milik si paman driver bnr2 kaya kacung bagi kantor maupun cs bintang 1 hamsyomg lu,Social,Contra
937,938,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,lama pakai jasa ojol apa itu bisa mungkin ga kasih rating 1 syukursyukur bs kasih tip takut bgt jd putus jalan rezeki org kl kasih rating jelek mudah ojol di luar sana jg baik2 gak jahat gak bahaya customer biar order lancar emoji,Social,Pro
938,939,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,pernah ada gojek yang cerita kalo misal dari hari baru dapet 1 order itu jemput aku yang pulang sekolah sore sekitar jam 4an beliau neng banget karena abis dapet bintang 1 dari langgan karena makan dari restonya gak enak gamasuk akal,Social,Pro
939,940,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,gw pernah dpet driver gojek di ksih tau jalan ngemojil k kantor jdi telat akhir gw d jemput doi tu tukang gojek msih muterin jln yg mnrut dia bner gw suruh dia ttp jalanin aja k kantor gw dan ttp gw kasih bintang 5 matiin rejeki org jg g baik,Social,Pro
940,941,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,pernah naik gojek pas mo ujan si bapak turun ngasih jas ujan yang cuman atas nya doang gw bilang gapapa gw lebih mentingin si bapak krna takut sakit keujanan demi keluarga nya panjang jalan si bapak minta maaf terusemoji mungkin pernah dapet bintang 1 krna itu kali ya emoji,Social,Pro
941,942,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,pernah ada driver kena paku ban bocor dia takut banget sampai mau balikin gopay jumlah ongkos padahal nama musibah gue minta selesai aja trip tanpa rewel gue bisa cari driver lain lagi dia takut malah,Social,Pro
942,943,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,saling harga ajah pakituh sudah lebih dari cukup untuk kami para driver,Social,Neutral
943,944,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,saya biasa lebih kritis ke gocar daripada goride kalau goride paling rendah bintang 4 gocar beda cerita kalo mobil bersih ya bintang 5 nah yg kotor nih apalagi kotor dari rokok ya bisa bintang 1 abu rokok bau rokok stella beuh gak nahan bisa muntah pas di tuju,Social,Neutral
944,945,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,pernah pas naik ojol si bapak bilang maaf mba saya isi bensin dulu ya betul karna ga lagi buru2 jadi yaudah gapapa dan panjang jalan si bapak terus minta maaf gue jadi mikir apa dulu si bpk pernah di marahin customer karna isi bensin smiley,Social,Pro
945,946,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,mama ku pernah sen makan di ojek online trs kata ojek nya maaf ya ce makan nya jatoh tadi sambil gemeteran sdikit mungkin takut krna kasianmakanan nya mas layak di makan ga parah bgt rusak mama ku biarin aja ga minta ganti rugi kasi bgt jujur,Social,Pro
946,947,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,customer udh banyak yg ngerti sih kemarin ada order yg restonya belum super jadi order yg masuk sen ulang di layan gue udh bawelin layan biar sesuai request tapi ttp aja layan lupa untung bintang 5 walaupun customernya bahas ttg request lebih bijakemojiemoji,Social,Pro
947,948,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,kemarin sen makan terus kek bapak asing sama tempat rumah nyempil jd rada lama muter sampe kususulin bapak kali bilang bintang bintang kek takut aku ngambek terus kasih rating jelek padahal aku udah bilang iya pak santai tp tetep aja ga tenang,Social,Pro
948,949,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,kapan hari beli makan lanjur ujan pas abis sen waktu bapak sampe wajah kek takut dan bilang maaf ya mbak tas basah tapi saya jamin dalem enggak kok aman saya teduh sebentar tadi rasa nyes banget di hati,Social,Pro
949,950,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,saya nyambi jadi driver gojek sering ketemu customer yang gak baik dan banyak juga yg baik dan saya selalu objektif beri nilai tapi karena status saya driver saat nilai buruk selalu tidak ada respon sama sekali dari pihak aplikator beda jika sy customer,Social,Neutral
950,951,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,saya driver ojol komentar seperti ini saya print buat semangat,Social,Neutral
951,952,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,pelangganpenumpang adalah raja yg sedia jasa sudah harus layan dgn sopan dan santun begitu kira kira begitu juga dgn taxi yg tulis warna orange layan dgn sepenuh hati dan segenap tenaga,Social,Contra
952,953,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,wkt itu gw mau ke tol pake goride beda sama adek gue yg masih smp trus wkt itu adek gw sampe duluan dan nunggu cukup lama krn beda timing pickup sma gw tp gw makas bgt sama abng gojek wkt itu yg nungguin adek gw di tol sampe gw bener2 dateng mana pas itu lg ujan,Social,Neutral
953,954,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,kemarin dua kali dapet alam tidak senang saat beli makan di gofood driver nyasar marah2 tidak baca notes dengan baik tidak mau tunggu kasar tapi saya tetap kasih bintang 5 dan tips ga semua tapi banyak driver jadi ga tau diri mentang2 kita ga tega,Social,Contra
954,955,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,gin ya pernah bawa order food semua jalan lancar malah yang order ngasih tips langsung tapi pas ada pop up buat ngasih ulas kata pencet sama anak yang balita bintang satu kesaspen 3 hari nih akun waktu masih ada insentif lagi,Social,Pro
955,956,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,jangan salah costumer salah cuaca aja bapak yg minta maafemoji maaf neh lagi hujan yaelah pak itu bukan kuasa bapakemojiemoji,Social,Pro
956,957,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,pernah beli ayam geprek sama temen pas udah sen temenku baru bilang kalo sambelnya minta pisah chatlah driver tapi gak di bales pas udah nyampe tempat drivernya bilang bayar 10k aja kak kaget lah kan gak segitu total pas di tanya kok 10k mas emang ada promo,Social,Neutral
957,958,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,pernah mesen di tempat kopi xxx di pondok aren udah mesen 2x buat ruang eh tau toko masih tutup driver udah sampai semua aplikasi ga bisa dicancel driver marah2 karena harus nunggu emoji nelpon cs buat cancel dari pusat sambil terus dichat ga enak sama driver emoji,Social,Contra
958,959,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,itu salah satu sy henti jd ojoldpt customer ken buru trus nyuruh lawan arah ga sy ikut permintaanyadikasih bintang 1 langsung anyepakun ga sampai dibekuin cuma dah malas aja buat ngojol,Social,Pro
959,960,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,masalah ada bagi orang2 sok hebat gak ada otak yang suka ngelaporin kurir ke sistem lapor hanya karena hal sepele,Social,Pro
960,961,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,alam sen gcar pas udh sampe di tuju driver nya pinjem hp sya dan situ dia ngomong nya ga jelas mau ngapain sya kurang denger kemudian dia tiba tiba rate sndiri bintang 5 dari hp sya sbnrnya waktu jalan aman dan lancar sih tp rate sndiri di hp customeremoji,Social,Neutral
961,962,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,pernah ngasih bintang 3 atau brp gitu tapi pake akun temen kasih segitu krn bpknya ngancem pake nada tinggi kalo sampai dicancel pdhl ga ada niat mau ngebatalin atau apa mana malampula habis jadi itu trauma bgt mau naik gojekemoji,Social,Contra
962,963,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,dulunya saya anggap itu hal sepele saja untung memang gak pernah ngasih review jelek se sebel2nya paling bintang 4 sekarang 5 terus dan mmng gak prnh ada yg ngecewain sih,Social,Pro
963,964,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,mention harus punya sistem banding berat driver jadi semua penuh hak nya,Social,Pro
964,965,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,lama pakai layan selalu kasih bintang 5 jujur aja klo dapet driver yg rese biasa ga kasih bintang gapapa ga sih sering juga denger curhatan para driver banyak potong rawan bahaya semangat terus buat para driver,Social,Neutral
965,966,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,baru bngt kmrn abis sen gocar dari pasar ke rumah tau plastik belanja aku bolong dan mobil jadi tumpah tinta cumi aku gak enak sama bapak malah bapak yg minta maaf ke aku sehat trs ya pakemoji,Social,Neutral
966,967,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,saya sangat harap pak nadiem kembali ke gojek dan enyah si kevin karna tidak ada masa pimpin pak nadiem jauh lebih baik dari pada si kevin era kevin sangat sengsara mitra emoji,Social,Uncorrelated
967,968,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,banyak yg d putus mitra padahal salah bantu ga nyampein makan ke majikan,Social,Uncorrelated
968,969,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,ntinya gojek bukan aplikasi anak bangsa lagi semenjak pak nadiem jadi menteriberubah jadi aplikasi anak bangsat semenjak kevin ambil alih,Social,Uncorrelated
969,970,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,kalo laku abang driver yang ga sampe bikin gue sakit hati gak nyaman pas jalan gue ttp kasih rate 5 tp demi allah dari awal pake gojek gue paling dikit 4 karena ada beberapa salah dr pihak driver nya,Social,Neutral
970,971,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,kemarin dapat order gomart customer ingin cancel karena salah pilih bayar dan sudah saya suruh cancel tapi ga ada respon sama sekali 45 menit tanpa pasti telah itu saya tuju ke tuju untuk cancel dan nyata hp tinggal di rumah sedang dia pergi ke makam,Social,Neutral
971,972,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,itu salah satu cara agar akun nggak kena suspend atau putus mitra karena kecil apa adu langgan langsung pengaruh besar ke driver bisa jadi besok nggak bisa cari nafkah lewat ngojek lagi,Social,Pro
972,973,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,jauh lebih dalam jauh lebih keri mereka punya ratus ribu armada tp 1 pun ga ada yg bahkan digantiin oli bakar duit anjlokin tarif transportasi bikin harga kendara jatuh a big scam,Social,Uncorrelated
973,974,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,jujur waktu itu pernah naik gojek bapa2 malah ngebut2an saya udh bilang jangan ngebut tp diem aja alhasil nabrak motor dan kaki saya kena besok bener2 gabisa jalan trs gajadi ikut pra bantara akhir ya bodoamat marah saya bintabg satu deh lagi bapa g minta maaf,Social,Neutral
974,975,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,emang ngeri itu resiko di bidang jasa ga cuma di dunia rojol jual voucher hotel 4 dan ada sedikit trouble ketika di kamar juga agent tetep kena emojiemoji,Social,Pro
975,976,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,ya iyalahojol itu takut di spam dari pihak kantor ojolmrk cari uang dari ojolmrk tdk mmiliki pkrjaan tambah wajar mrk takut,Social,Pro
976,977,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,tapi kalo jual yang salah order grabfoodgofood apakah drivernya kena waktu itu sempet report via menu report tapi tetep ngasih bintang 5 sih buat drivernya karena bukan salah drivernya,Social,Neutral
977,978,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,iya bgt makanya marah apa w karena salah driver ujung ujung w tahan dan tetep w kasih bintang 5 gatega akutuuu,Social,Pro
978,979,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,kadang miris karena hati kita kadang tidak buat dari mutiara yang indah dan sinar sehingga banyak luka orangorang,Social,Uncorrelated
979,980,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,apalagi dapet nilai konyol seperti makan ga enak atau kurang porsi tapi yg kasih bintang 1 si driver customer tolol macem apa itu wkwk,Social,Neutral
980,981,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,heran juga kemarin sen gofood tp pgn yg anget itu juga kalo ada kata drivernya harus nunggu 20 menit saya bilang gpp gak anget juga tp beliau bilang sudah tugas saya saking takut komplain,Social,Pro
981,982,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,mungkin kali ini dia yg salah tp bisa jd besok aku yg salah yg pikir oleh cuma rasa bantu dg ada mrk lihat bhw ini kerja halal ga semua driver bisa tahan biar jempol buat senang org lain dg cara pencet bintang 5,Social,Neutral
982,983,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,aku jarang banget sih dapet layan jelek pernah sekali jg kasih bintang 3 kl kasih 1 kasi soal dia jg udah cape keliling nyari uang palagi kl order makan,Social,Neutral
983,984,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,lebih baik gitu si drpda gw pernah dapet tukang gojek yang pas udah nyampe tuju dia sok2an bilang mau masukin voucher eh tau malah ngerating sendiriemoji,Social,Contra
984,985,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,adek aku pernah bentak driver gosend garagara nungguin tp ga hubungin via hp sekalipun mana gosend di blibli ga ada titik drivernya jd ga tau dia ada mana pertama kali driver ngebentak parah sih itu emoji,Social,Neutral
985,986,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,inti aplikator cari konsumen susah cari driver mudah jadi apa masalh nya driver harus minta maaf,Social,Neutral
986,987,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,makanya kmrn pas ada ibu2 yg goblok2in driver ojol itu lsg pada geruduk rumah ibu itu si ibu gak iklas minta maaf dia minta maaf juga stlh mediasi sm polisi udh gt dia ttp ngece gk tulus minta maaf nya,Social,Neutral
987,988,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,ga pernah ksh bintng1 ingat gw pernah ksh bintang 2 krn gw diturunin di jln sm abang krn gw protes route yg dia pilih pdhal dah tengah malam gw kudu jln dulu bbrp saat utk smpe jln raya utk cari ojek online yg lain untung aman sih tp abang emang ga ngotak,Social,Neutral
988,989,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,iya anjiremojiemojiemoji alam bgt gua pernah nge go car terus tanya anak mana gua blg anak batamemojiemojiemojiemojiemojiemojiemojiemojiemojiemojiemojiemoji dia marah marah anj ini pergi sama temen temen dari plaza ke taplau cerita tapi badmood ancur bgt passsssssssss dapet go car yg suka marah,Social,Neutral
989,990,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,kalo aku selalu usahain kasih bintang 5 kalaupun dapet abang gojek yang kurang nyenengin mending gausah kasih nilai atau apa itu kalo ga kasih nilai tu ngefek ga si,Social,Neutral
990,991,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,kalau kasih bintang 5 tapi komennya komplain abang bakal diapain ya soal saya sering gtu ngasih bintang rendah gak enak tp kesel juga layan kurang,Social,Neutral
991,992,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,saya dulu pernah juga dpt customer yg minta di cepetin gofoodnya kalau ngga cepet di b1 saking takut langsung cepet cepet naik motor nrobos lampu merah wkwk kalo bisa cancel mah saya cancel itu order bahaya juga kalo sembrono jalan,Social,Pro
992,993,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,terimakasih untuk semua customer ojol yang baik hati yang mau maklum serta mampu erti emoji,Social,Neutral
993,994,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,aplikator jarang bela driver jd driver selalu kalah agar akun nya aman dari suspend dan putus mitra,Social,Pro
994,995,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,wkwk bener banget akun saya kalo udah bintang 500 selalu gak tahan lama ada aja turun asa juga gapernah ada salah layan,Social,Pro
995,996,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,konsumen aplikasi gampang sekali beri 1 bintang tanpa mau tahu salah di pihak mana dan kenapaseperti appnya semua serah ke system manusia yg guna juga ikut tidak manusiawi,Social,Neutral
996,997,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,dan sayang masih byk yg suka main main sama rating,Social,Pro
997,998,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,seburuk2 nya abang2 ojol kalo bawa motor atau dia lewat jauhhhh bgt sampe harus nunggu lamatetap gw kasih bintang 5 alhamdulillah nya belum ada yg sampe ngomong kasar atau kurang ajar,Social,Neutral
998,999,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,saya driver gocar pernah putus mitra hanya karena minta uang parkir customer beri ulang minta uang lebih padahal keluar gedung parkir pakai uang saya,Social,Pro
999,1000,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,gw inget pernah ngasi bintang 1 ke driver krn sen gojek terus abang nya gak dateng2 tiba2 udah selesai aja orderannyaemoji yaudin karena gw jg udh kesel udah nunggu sampe jam an gw kasih bintang 1 dah,Social,Neutral
1000,1001,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,ya inti sama2 harus bijak antara driver dan tumpang soal banyak juga driver yg enak nya atau gk ramah dll lagi sama2 butuh kok,Social,Pro
1001,1002,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,pernah sampe belum mohon maaf jika tdk kenan bu di sini ada uang parkir 2rb mohon maaf ya bu kayak grgr 2rb pdhl tp sampe minta maaf gt huhu sebel bgt jangan2 pernah ada jadi ga enak buat pak ojolnya gara2 sekadar uang parkir,Social,Pro
1002,1003,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,tapi masih ada aja yg cuek bebek sama customer nganterin makan kasih rating jelek langsung dah responsif emoji,Social,Contra
1003,1004,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,abang2 nya tidur pas nerima sen makan saya aja tetep saya kasih bintang 5 btw aku nungguin di ampe bangun tidur smiley,Social,Neutral
1004,1005,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,gabisa di kasih komentar emg mention g kasi tiap ada apa2 driver mulu yg kena driver lgi yg bantuin pihak gojek mah diem diem bae ya,Social,Pro
1005,1006,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,kadang yg agak ga nyaman tu terus drivernya bawa motor jadi kaya puelannnnn bangett emoji malah apa yak ganyaman,Social,Uncorrelated
1006,1007,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,yang perlu diinget kita sbg customer kalau mau ngasih rating ke driver pasti bahwa tangan kita tidak basah soal rawan bgt kalau hp kena air bisa ae gasengaja pencet bintang 1,Social,Neutral
1007,1008,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,netflix black mirror season 3 eps 1 near future nasib sosial kita akan tentu review dan rating,Social,Uncorrelated
1008,1009,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,aku enak gak enak abang grab tetep kasih bingang 5 gk tau knp pas udh selesai seru aja menceg bintang 5,Social,Neutral
1009,1010,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,pernah dapet bintang 1 karena request cust minta saos 10 ama mcd cuma kasih 6 akhir suspen saya 7 hari ga kerja emoji,Social,Pro
1010,1011,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,yang saya tau baik itu gocar gofood dll gwe gak pernah kasih satu sama sekali karna gue sangat paham situ mereka cari rejeki buat keluarga emoji,Social,Pro
1011,1012,saya yang salah abang gojek yang minta maaf keri itu sistem rating dan adu,itu produk sistem yg dewa konsep beli adalah raja emojiemojiemojiseharusnya yg ada adalah keseimbangandimana driver dan konsumen punya hak dan wajib imbang,Social,Pro
